2 67 68	2800	2700	2200
2 69 70	2700	2600	2150
1 71	2600	2500	2100
2 72 74	2500	2400	2050
1 75	2400	2300	2000
1 76	2300	2200	1950
1 77	2200	2100	1900
1 78	2100	2000	1850
1 79	2000	2050	1800
1 80	2050	2150	1750
1 89	2150	2250	1700
1 90	2250	2350	1650
1 91	2350	2450	1600
1 92	2450	2550	1550
1 93	2550	2650	1500
1 94	2650	2750	1450
